云海,探索性能,探索性能,探索性能,道具,道具,道具,其他道具,HQ入手判定,个数判定,个数判定,个数判定,Bonus判定
01,51,10,0,风之水晶<br>雷之水晶<br>耐力魔晶石叁型<br>巧力魔晶石叁型<br>钨铁矿<br>蓝铁矿<br>无属性水晶<br>浮岛陶石,风之水晶<br>雷之水晶<br>耐力魔晶石叁型<br>巧力魔晶石叁型<br>钨铁矿<br>蓝铁矿<br>竹片<br>浮岛陶石,风之水晶<br>雷之水晶<br>耐力魔晶石贰型<br>巧力魔晶石贰型<br>钨铁矿<br>蓝铁矿<br>竹片,莫古力的王冠<br>（收集证实）,34,60,55,0,35
02,51,10,0,火之水晶<br>水之水晶<br>刚柔魔晶石叁型<br>咏唱魔晶石叁型<br>金矿<br>无属性水晶<br>深红水晶<br>灌木树苗,火之水晶<br>水之水晶<br>刚柔魔晶石叁型<br>咏唱魔晶石叁型<br>金矿<br>蓝铁矿<br>竹片<br>灌木树苗,火之水晶<br>水之水晶<br>刚柔魔晶石贰型<br>咏唱魔晶石贰型<br>金矿<br>蓝铁矿<br>竹片,,34,60,55,0,35
03,52,11,0,冰之水晶<br>土之水晶<br>名匠魔晶石叁型<br>巨匠魔晶石叁型<br>白金矿<br>无属性水晶<br>深绿水晶<br>东方小判金币,冰之水晶<br>土之水晶<br>名匠魔晶石叁型<br>巨匠魔晶石叁型<br>白金矿<br>红莫柯草<br>轻木废材<br>东方小判金币,冰之水晶<br>土之水晶<br>名匠魔晶石贰型<br>巨匠魔晶石贰型<br>白金矿<br>红莫柯草<br>轻木废材,,35,62,57,0,35
04,53,12,0,火之水晶<br>水之水晶<br>博识魔晶石叁型<br>器识魔晶石叁型<br>绯红树汁<br>无属性水晶<br>深蓝水晶<br>除臭明矾,火之水晶<br>水之水晶<br>博识魔晶石叁型<br>器识魔晶石叁型<br>绯红树汁<br>红莫柯草<br>轻木废材<br>除臭明矾,火之水晶<br>水之水晶<br>博识魔晶石贰型<br>器识魔晶石贰型<br>绯红树汁<br>红莫柯草<br>轻木废材,,36,64,59,0,35
05,54,13,0,风之水晶<br>雷之水晶<br>耐力魔晶石叁型<br>雄略魔晶石叁型<br>桦树枝<br>无属性水晶<br>深红水晶<br>玩具箱设计图,风之水晶<br>雷之水晶<br>耐力魔晶石叁型<br>雄略魔晶石叁型<br>桦树枝<br>深红水晶<br>深色水晶<br>玩具箱设计图,风之水晶<br>雷之水晶<br>耐力魔晶石贰型<br>雄略魔晶石贰型<br>桦树枝<br>深红水晶<br>深色水晶,,37,66,61,0,40
06,55,14,0,冰之水晶<br>土之水晶<br>信力魔晶石叁型<br>咏唱魔晶石叁型<br>暗栗树枝<br>无属性水晶<br>深绿水晶<br>龙堡浮草,冰之水晶<br>土之水晶<br>信力魔晶石叁型<br>咏唱魔晶石叁型<br>暗栗树枝<br>深绿水晶<br>深色水晶<br>龙堡浮草,冰之水晶<br>土之水晶<br>信力魔晶石贰型<br>咏唱魔晶石贰型<br>暗栗树枝<br>深绿水晶<br>深色水晶,,38,68,63,0,45
07,56,15,0,火之水晶<br>水之水晶<br>魔匠魔晶石叁型<br>巨匠魔晶石叁型<br>钨铁矿<br>无属性水晶<br>深蓝水晶<br>硼砂,火之水晶<br>水之水晶<br>魔匠魔晶石叁型<br>巨匠魔晶石叁型<br>钨铁矿<br>深蓝水晶<br>天然粘土<br>硼砂,火之水晶<br>水之水晶<br>魔匠魔晶石贰型<br>巨匠魔晶石贰型<br>钨铁矿<br>深蓝水晶<br>天然粘土,除臭明矾,39,70,65,0,50
08,57,16,0,风之水晶<br>雷之水晶<br>意力魔晶石叁型<br>武略魔晶石叁型<br>金矿<br>深红水晶<br>无属性水晶<br>多玛芒草苗,风之水晶<br>雷之水晶<br>意力魔晶石叁型<br>武略魔晶石叁型<br>金矿<br>天青石<br>轻木木材<br>多玛芒草苗,风之水晶<br>雷之水晶<br>意力魔晶石叁型<br>武略魔晶石叁型<br>金矿<br>天青石<br>轻木木材,铁巨人核心,40,72,67,0,55
09,58,17,0,风之水晶<br>雷之水晶<br>刚力魔晶石叁型<br>战技魔晶石叁型<br>白金矿<br>无属性水晶<br>深绿水晶<br>远航黄铜通货,风之水晶<br>雷之水晶<br>刚力魔晶石叁型<br>战技魔晶石叁型<br>白金矿<br>天青石<br>轻木木材<br>远航黄铜通货,风之水晶<br>雷之水晶<br>刚力魔晶石叁型<br>战技魔晶石叁型<br>白金矿<br>天青石<br>轻木木材,玩具箱设计图,41,74,69,0,60
10,59,18,0,火之水晶<br>水之水晶<br>达识魔晶石叁型<br>博识魔晶石叁型<br>绯红树汁<br>无属性水晶<br>深蓝水晶<br>浮岛陶石,火之水晶<br>水之水晶<br>达识魔晶石叁型<br>博识魔晶石叁型<br>绯红树汁<br>天青石<br>石粉粘土<br>浮岛陶石,火之水晶<br>水之水晶<br>达识魔晶石叁型<br>博识魔晶石叁型<br>绯红树汁<br>天青石<br>石粉粘土,莫古力的王冠<br>（收集证实）,42,76,71,0,65
11,60,19,0,冰之水晶<br>土之水晶<br>智力魔晶石肆型<br>咏唱魔晶石肆型<br>桦树枝<br>深红水晶<br>深红晶簇<br>莫古力的王冠,冰之水晶<br>土之水晶<br>智力魔晶石肆型<br>咏唱魔晶石肆型<br>桦树枝<br>合成生物的粗皮<br>炼金纤维<br>莫古力的王冠,冰之水晶<br>土之水晶<br>智力魔晶石叁型<br>咏唱魔晶石叁型<br>桦树枝<br>合成生物的粗皮<br>炼金纤维,アルジクラベンダーの種,43,78,73,0,70
12,61,20,0,火之水晶<br>水之水晶<br>巧力魔晶石肆型<br>神眼魔晶石肆型<br>暗栗树枝<br>深绿水晶<br>深绿晶簇<br>灌木树苗,火之水晶<br>水之水晶<br>巧力魔晶石肆型<br>神眼魔晶石肆型<br>暗栗树枝<br>合成生物的粗皮<br>炼金纤维<br>灌木树苗,火之水晶<br>水之水晶<br>巧力魔晶石叁型<br>神眼魔晶石叁型<br>暗栗树枝<br>合成生物的粗皮<br>炼金纤维,ヴォイドマンドレイクの種<br>（收集证实）,44,80,75,0,75
13,62,21,0,冰之水晶<br>土之水晶<br>名匠魔晶石肆型<br>魔匠魔晶石肆型<br>钨铁矿<br>深蓝水晶<br>深蓝晶簇<br>龙堡浮草,冰之水晶<br>土之水晶<br>名匠魔晶石肆型<br>魔匠魔晶石肆型<br>钨铁矿<br>合成生物的粗皮<br>炼金树脂<br>龙堡浮草,冰之水晶<br>土之水晶<br>名匠魔晶石叁型<br>魔匠魔晶石叁型<br>钨铁矿<br>合成生物的粗皮<br>炼金树脂,除臭明矾<br>アルジクラベンダーの種,45,82,77,0,80
14,63,22,0,神眼魔晶石肆型<br>智力魔晶石肆型<br>金矿<br>深红水晶<br>深红晶簇<br>多玛芒草苗,神眼魔晶石肆型<br>智力魔晶石肆型<br>金矿<br>铁刀木<br>魔科学纤维<br>多玛芒草苗,冰之水晶<br>土之水晶<br>神眼魔晶石叁型<br>智力魔晶石叁型<br>金矿<br>铁刀木<br>魔科学纤维,玩具箱设计图<br>ヴォイドマンドレイクの種,46,84,79,0,85
15,64,23,0,耐力魔晶石肆型<br>武略魔晶石肆型<br>白金矿<br>深绿水晶<br>深绿晶簇<br>古代野兽的化石片,耐力魔晶石肆型<br>武略魔晶石肆型<br>白金矿<br>铁刀木<br>魔科学纤维<br>古代野兽的化石片,冰之水晶<br>土之水晶<br>耐力魔晶石叁型<br>武略魔晶石叁型<br>白金矿<br>铁刀木<br>魔科学纤维,莫古力的王冠<br>アルジクラベンダーの種,47,86,81,0,90
16,65,24,0,达识魔晶石肆型<br>器识魔晶石肆型<br>绯红树汁<br>深蓝水晶<br>深蓝晶簇<br>东方小判金币,达识魔晶石肆型<br>器识魔晶石肆型<br>绯红树汁<br>铁刀木<br>深色晶簇<br>东方小判金币,水之水晶<br>火之水晶<br>达识魔晶石叁型<br>器识魔晶石叁型<br>绯红树汁<br>铁刀木<br>深色晶簇,ヴォイドマンドレイクの種,48,88,83,0,95
17,88,70,0,名匠魔晶石肆型<br>巨匠魔晶石肆型<br>黄昏鞣革,名匠魔晶石肆型<br>巨匠魔晶石肆型<br>黄昏鞣革<br>铁刀木,名匠魔晶石叁型<br>巨匠魔晶石叁型<br>桦树枝<br>铁刀木<br>深红晶簇,风绢<br>玩具箱设计图<br>银矿,49,90,85,0,100
18,88,70,0,刚力魔晶石伍型<br>战技魔晶石伍型<br>铁巨人核心,刚力魔晶石肆型<br>战技魔晶石肆型<br>铁巨人核心,刚力魔晶石叁型<br>战技魔晶石叁型<br>暗栗树枝<br>铁刀木<br>深绿晶簇,黄昏鞣革<br>陈旧的乐谱：蒼き翼<br>青金矿,49,90,85,0,100
19,88,70,0,意力魔晶石伍型<br>信力魔晶石伍型<br>恐龙革,意力魔晶石肆型<br>信力魔晶石肆型<br>恐龙革<br>铁刀木,意力魔晶石叁型<br>信力魔晶石叁型<br>钨铁矿<br>铁刀木<br>深蓝晶簇,黄昏鞣革<br>铁巨人核心<br>金砂,49,90,85,0,100
20,88,70,0,巧力魔晶石伍型<br>咏唱魔晶石伍型<br>古董革,巧力魔晶石肆型<br>咏唱魔晶石肆型<br>古董革<br>铁刀木,巧力魔晶石叁型<br>咏唱魔晶石叁型<br>金矿<br>铁刀木<br>深红晶簇,黄昏鞣革<br>铁巨人核心<br>灵银沙,49,90,85,0,100
21,88,70,0,雄略魔晶石伍型<br>咏唱魔晶石伍型<br>风绢,雄略魔晶石肆型<br>咏唱魔晶石肆型<br>风绢<br>铁刀木<br>深绿晶簇,雄略魔晶石叁型<br>咏唱魔晶石叁型<br>白金矿<br>铁刀木,黄昏鞣革<br>玩具箱设计图<br>六识之血,49,90,85,0,100
