number,music_name,get_id,how to get,notice,how to get,notice,how to get,notice,category,
1,水晶序曲,9,成就报酬/10曲入手,,,,,,5,539759
1,天降之力,0,金蝶游乐场/50000金蝶币,,,,,,3,28409283
2,雪风,0,金蝶游乐场/5000金蝶币,,,,,,5,41672489
3,斗争,0,田园郡(6:5)希丝梅娜/禁书750,,,,,,5,41672515
1,水车低鸣,0,格里达尼亚新街(11:11)麦森塔/5000金,,,,,,1,28409319
2,伟大的母港,0,利姆萨·罗敏萨下层甲板(10:11)班戈·赞戈/5000金,,,,,,1,28409306
3,希望之都,0,乌尔达哈现世回廊(10:9)劳力士/5000金,,,,,,1,28409287
4,监牢,0,伊修加德砥柱层(6:10)芙莉妮/5000金,,,,,,1,41672490
5,沙之家,0,沙之家　哈奈可·布恩奈可/5000金,,,,,,1,28409334
6,华彩的山麓,1,龙堡参天高地/A:S怪物狩猎,陈旧的乐谱:华彩的山麓,,,,,1,41672506
7,云中匿影,1,阿巴拉提亚云海/A:S怪物狩猎,陈旧的乐谱:云中匿影,,,,,1,41672499
8,再来一杯！,0,丧灵钟用诗学交换/1000,陈旧的乐谱:再来一杯！,,,,,1,28409289
4,非著名调查员,0,金蝶游乐场/30000金蝶币,,,,,,5,28409344
9,曼德维尔金碟游乐场,0,金蝶游乐场/10000金蝶币,,,,,,1,34274408
10,陆行鸟竞赛,0,金蝶游乐场/15000金蝶币,,,,,,1,34274410
5,唯一的行路,2,藏宝图鞣/山羊/飞龙/巨龙革确认掉落,陈旧的乐谱:唯一的行路,,,,,5,28409400
6,走向世界,2,地下工房飞空艇探索几率获得,陈旧的乐谱:走向世界,,,,,5,28409301
7,坚毅,0,伊修加德基础层(10:10)/虫珀3,,,,,,5,27586650
8,挥汗如雨,0,伊修加德基础层(10:10)/虫珀6,,,,,,5,28409297
9,以血洗血,0,狼印战绩交换/5000枚,陈旧的乐谱:以血洗血,,,,,5,34274389
10,饿狼群集,0,狼印战绩交换/10000枚,陈旧的乐谱:饿狼群集,,,,,5,482633468
