number,music_name,get_id,how to get,notice,how to get,notice,how to get,notice,category
1,水晶序曲,9,成就报酬/10曲入手,,,,,,5
1,天降之力,0,金蝶游乐场/50000金蝶币,,,,,,3
2,雪风,0,金蝶游乐场/5000金蝶币,,,,,,5
3,斗争,0,田园郡(6:5)希丝梅娜/禁书750,,,,,,5
1,水车低鸣,0,格里达尼亚新街(11:11)麦森塔/5000金,,,,,,1
2,伟大的母港,0,利姆萨·罗敏萨下层甲板(10:11)班戈·赞戈/5000金,,,,,,1
3,希望之都,0,乌尔达哈现世回廊(10:9)劳力士/5000金,,,,,,1
4,监牢,0,伊修加德砥柱层(6:10)芙莉妮/5000金,,,,,,1
5,沙之家,0,沙之家　哈奈可·布恩奈可/5000金,,,,,,1
6,华彩的山麓,1,龙堡参天高地/A:S怪物狩猎,陈旧的乐谱:华彩的山麓,,,,,1
7,云中匿影,1,阿巴拉提亚云海/A:S怪物狩猎,陈旧的乐谱:云中匿影,,,,,1
8,再来一杯！,0,丧灵钟用诗学交换/1000,陈旧的乐谱:再来一杯！,,,,,1
4,非著名调查员,0,金蝶游乐场/30000金蝶币,,,,,,5
9,曼德维尔金碟游乐场,0,金蝶游乐场/10000金蝶币,,,,,,1
10,陆行鸟竞赛,0,金蝶游乐场/15000金蝶币,,,,,,1
5,唯一的行路,2,藏宝图鞣/山羊/飞龙/巨龙革确认掉落,陈旧的乐谱:唯一的行路,,,,,5
6,走向世界,2,地下工房飞空艇探索几率获得,陈旧的乐谱:走向世界,,,,,5
7,坚毅,0,伊修加德基础层(10:10)/虫珀3,,,,,,5
8,挥汗如雨,0,伊修加德基础层(10:10)/虫珀6,,,,,,5
9,以血洗血,0,狼印战绩交换/5000枚,陈旧的乐谱:以血洗血,,,,,5
10,饿狼群集,0,狼印战绩交换/10000枚,陈旧的乐谱:饿狼群集,,,,,5
1,风暴中的灯火,1,领航明灯 天狼星灯塔/地脉灵灯 天狼星灯塔,陈旧的乐谱:风暴中的灯火,,,,,2
2,黑暗的拥抱,1,骚乱坑道 铜铃铜山/封锁坑道 铜铃铜山,陈旧的乐谱:黑暗的拥抱,,,,,2
3,魔大战的伤痕,1,神圣遗迹 无限城市街古迹/腐坏遗迹 无限城市街古迹,陈旧的乐谱:魔大战的伤痕,,,,,2
4,漆黑的誓言,1,惨剧灵殿 塔姆 塔拉墓园/地下灵殿 塔姆 塔拉墓园,陈旧的乐谱:漆黑的誓言,,,,,2
5,激潮,1,逆转要害 沙斯塔夏溶洞/天然要害 沙斯塔夏溶洞,陈旧的乐谱:激潮,,,,,2
6,异想天开,1,血战苍穹 魔科学研究所,陈旧的乐谱:异想天开,,,,,2
7,上下易位,1,星海空间 颠倒塔,陈旧的乐谱:上下易位,,,,,2
2,究极神兵,9,成就报酬(30曲入手),,,,,,3
3,诸神已死,1,究极神兵破坏作战,陈旧的乐谱:诸神已死,,,,,3
4,原始的审判,1,伊芙利特歼殛战,陈旧的乐谱:原始的审判,,,,,3
5,堕天使,1,迦楼罗歼殛战,陈旧的乐谱:堕天使,,,,,3
6,重压灭顶,1,泰坦歼殛战,陈旧的乐谱:重压灭顶,,,,,3
7,英杰,1,圆桌骑士幻想歼灭战,陈旧的乐谱:英杰,,,,,3
8,魔神,1,萨菲洛特歼殛战,陈旧的乐谱:魔神,,,,,3
1,傲慢,1,水晶塔 古代人迷宫,陈旧的乐谱:傲慢,,,,,4
2,一落千丈,1,水晶塔 古代人迷宫,陈旧的乐谱:一落千丈,,,,,4
3,绚烂,1,希尔科斯塔,陈旧的乐谱:绚烂,,,,,4
4,多加与乌内之心,1,希尔科斯塔,陈旧的乐谱:多加与乌内之心,,,,,4
5,暗淡,1,暗之世界,陈旧的乐谱:暗淡,,,,,4
6,最后的死斗　～重生～,1,暗之世界,陈旧的乐谱:最后的死斗　～重生～,,,,,4
7,悠久之风　～重生～,1,水晶塔 古代人迷宫,陈旧的乐谱:一落千丈,希尔科斯塔,陈旧的乐谱:绚烂,暗之世界,陈旧的乐谱:最后的死斗　～重生～,4
8,雷鸣,1,巴哈姆特大迷宫 邂逅之章5,陈旧的乐谱:雷鸣,,,,,4
9,白银凶鸟展翅翱翔,1,巴哈姆特大迷宫 入侵之章4,陈旧的乐谱:白银凶鸟展翅翱翔,,,,,4
10,死灰复燃,1,巴哈姆特大迷宫 真源之章3,陈旧的乐谱:死灰复燃,,,,,4
11,Answers　-生死答问-,1,巴哈姆特大迷宫 邂逅之章5,陈旧的乐谱:雷鸣,巴哈姆特大迷宫 入侵之章4,陈旧的乐谱:白银凶鸟展翅翱翔,巴哈姆特大迷宫 真源之章4,陈旧的乐谱:Answers　-生死答问-,4
11,水手不眠,0,利姆萨·罗敏萨下层甲板(10:11)班戈·赞戈/5000金 ,,,,,,1
12,萤火之舞,0,格里达尼亚新街(11:11)麦森塔/5000金,,,,,,1
13,女王的美梦,0,乌尔达哈现世回廊(10:9)劳力士/5000金,,,,,,1
14,位高责重,0,伊修加德砥柱层(6:10)/芙莉妮/5000金  ,,,,,,1
