number,npc_name,area,time,rule_1,rule_2,rule_3,rule_4,drop_card_1,drop_card_2,drop_card_3,drop_card_4
1,幻卡大师,金碟游乐场 (X4:Y7),,全明牌,,,,1004,1013,,
2,黑桃天王 乔纳斯,金碟游乐场 (X4:Y7),,全明牌,同数,,,1015,1020,,
3,方块天王 古特文特,金碟游乐场 (X4:Y7),,三明牌,加算,,,1013,2007,,
4,梅花天王 欧里福,金碟游乐场 (X4:Y7),,三明牌,随机,,,1012,2007,,
5,红心天王 鲁希特威达,金碟游乐场 （X3:Y7）,,同类强化,不胜不休,,,3008,3013,,
6,幻卡王 埃尔默,金碟游乐场 （X3:Y7）,,加算,,,,3008,5001,,
7,莫莫蒂,乌尔达哈现世回廊 (11:Y9),,流行规则,三明牌,,,2008,,,
8,维蒙德,乌尔达哈现世回廊 (9:Y8),,流行规则,三明牌,,,1008,,,
9,斯威夫特,乌尔达哈现世回廊 (8:Y8),6:00-11:00,混乱,,,,3003,3025,4009,5007
10,罗杰,中萨纳兰 (19:Y20),,流行规则,全明牌,,,1005,1009,,
11,芙·霍芭丝,中萨纳兰 (23:Y13),,流行规则,三明牌,,,2016,,,
12,弗弗鲁帕,西萨纳兰 (22:Y17),,流行规则,三明牌,,,3009,,,
13,海尔姆哈特,东萨纳兰 (20:Y21),10:00-20:00,流行规则,三明牌,,,2002,2014,5002,
14,哈布,南萨纳兰 (24:Y40),,同类弱化,,,,3008,3009,5002,
15,巴德龙,利姆萨·罗敏萨上层甲板 (11:Y11),,流行规则,三明牌,,,1018,2009,,
16,尔·阿夏,利姆萨·罗敏萨上层甲板 (13:Y12),14:00-19:00,同数,加算,,,3012,4004,5005,
17,特拉哈涂姆,拉诺西亚低地 (35:Y15),20:00-8:00,流行规则,三明牌,,,1020,3004,,
18,弥弥德亚,拉诺西亚低地 (25:Y35),,流行规则,三明牌,,,2013,,,
19,格格鲁玖,东拉诺西亚 (33:Y30),,交换,不胜不休,,,3012,4006,,
20,梅梅卢恩,拉诺西亚高地 (14:Y24),,流行规则,全明牌,,,1014,2017,,
21,缪恩,格里达尼亚新街 (11:Y13),,流行规则,三明牌,,,1012,2010,,
22,麦森塔,格里达尼亚新街 (11:Y11),,流行规则,全明牌,,,1008,1016,,
23,沃尔赛勒,格里达尼亚新街 (9:Y11),22:00-3:00,同类强化,,,,3006,3011,4003,5006
24,马尔塞特,黑衣森林中央林区 (16:Y18),16:00-8:00,流行规则,混乱,,,2015,3005,,
25,皮拉尔诺,黑衣森林东部林区 (17:Y26),12:00-20:00,流行规则,三明牌,,,2004,2015,,
26,巴斯卡隆,黑衣森林南部林区 (18:Y19),,流行规则,秩序,,,3007,3011,,
27,朗德内尔,黑衣森林南部林区 (16:Y28),,王牌杀手,随机,,,3004,4002,,
28,赛兹尔·托托罗克,黑衣森林北部林区 (24:Y23),,同数,加算,,,2013,3001,4008,
29,奥尔蒂里克,库尔札斯中央高地 (6:Y22),,秩序,,,,2006,3001,,
30,若约,库尔札斯中央高地 (13:Y15),,流行规则,三明牌,,,1015,4009,,
31,罗薇娜,摩杜纳 (21:Y4),,随机,,,,2014,4010,,
32,懒散的帝国兵,摩杜纳 (11:Y17),,同类强化,,,,2011,2012,3010,5004
33,塔塔露,接待室,17:00-5:30,随机,天选,,,1019,3013,5020,
34,雅雅凯,乌尔达哈现世回廊 (X7:Y12),9:00-20:00,流行规则,混乱,天选,,4011,,,
35,耶萝·姆恩,乌尔达哈来生回廊 (X14:Y13),22:00-6:00,流行规则,流行规则,同类强化,随机,2021,,,
36,瓦瓦拉哥,利姆萨·罗敏萨下层甲板 (8:Y15),15:00-13:00,流行规则,混乱,交换,,3021,,,
37,诺埃斯,格里达尼亚旧街 (10:Y5),10:00-20:00,流行规则,流行规则,同类弱化,随机,1021,,,
38,吉布里隆,伊修加德基础层 (13:Y11),2:00-10:00,天选,,,,3020,,,
39,马塞尚,龙堡参天高地 (31:Y23),19:00-5:00,流行规则,流行规则,逆转,随机,3018,,,
40,玛丽埃勒,阿巴拉提亚云海 (15:Y37),2:00-10:00,秩序,,,,3017,,,
41,莫古咪尔,翻云雾海 (28:Y35),,天选,天选,,,2019,2020,3024,3029
42,米德奈特·迪尤,田园郡 (5:Y6),,随机,天选,,,3019,,,
43,无所事事的帝国兵,魔大陆 阿济兹拉 (28:Y31),21:00-8:00,流行规则,同类强化,随机,,3015,4021,5023,
44,青花,田园郡 (6:Y7),14:00-20:00,混乱,逆转,,,2026,2027,3026,
45,拉妮艾特,阿巴拉提亚云海 (17:Y37),23:00-2:00,同数,加算,,,2023,2024,,
46,艾蕾兹,伊修加德砥柱层 (X7:Y19),2:00-6:00,混乱,加算,,,2022,,,
47,啥都吃,龙堡参天高地 (X23:Y19),6:00-12:00,同类强化,交换,,,2025,3027,,
48,多米尼亚克,库尔札斯西部高地 (X16:Y22),16:00-20:00,秩序,,,,1022,,,
49,莱维娜,金碟游乐场 (X4:Y7),21:00-7:00,随机,混乱,,,5010,5012,5013,
50,福尔唐家的管家,伊修加德砥柱层 (X11:Y11),2:00-9:00,三明牌,加算,,,2028,3044,3045,
51,利努瓦利,阿巴拉提亚云海 (X6:Y14),17:00-23:00,逆转,混乱,,,3034,4014,,
52,好身手,龙堡参天高地 (X23:Y19),5:00-13:00,天选,,,,2018,3027,4012,
53,克林托塔,摩杜纳 (X30:Y13),23:00-4:00,同数,加算,,,3043,4015,5025,4020
54,塔普克里克斯,龙堡内陆低地 (X21:Y18),14:00-18:00,交换,同数,,,3026,4016,,
55,奥·卡尔卡雅,利姆萨·罗敏萨上层甲板 (X12:Y13),19:00-23:00,天选,加算,,,2033,5005,,
56,莫丁,利姆萨·罗敏萨上层甲板 (X11:Y7),19:00-23:00,同数,交换,,,2034,5005,,
57,团长莫古京,翻云雾海 (X15:Y28),21:00-3:00,同数,加算,,,3006,3046,5026,
58,对局室管理员,幻卡对局室（CF）,,混乱,王牌杀手,,,2038,,,
59,高贵的弗里休瓦雷尔,幻卡对局室（CF）,,,,,,1024,4025,,
60,暴发户 普莱多?福尔斯塔格,幻卡对局室（CF）,,加算,,,,2036,,,
61,醉鬼 奈尔,幻卡对局室（CF）,,同数,加算,,,3053,,,
62,绿之手 维拉·莉艾佳,幻卡对局室（CF）,,全明牌,同数,,,1023,,,
