乐谱名（日）,乐谱名（中）,获得方法,编号,类型,网易云,网易云类型（0无、1音乐、2电台）
雪風,雪风,金碟游乐场交换,2,5,41672489,2
水車の調べ,水车低鸣,格里达尼亚出售,1,1,28409319,2
偉大なる母港,伟大的母港,利姆萨·罗敏萨出售,2,1,28409306,2
希望の都,希望之都,乌尔达哈出售,3,1,28409287,2
堅牢 ～イシュガルド下層：昼～,监牢,伊修加德出售,4,1,41672490,2
砂の家,沙之家,萨纳兰出售,5,1,28409334,2
マンダヴィル?ゴールドソーサー,曼德维尔金碟游乐场,金碟游乐场交换,9,1,34274408,2
チョコボレース,陆行鸟竞赛,金碟游乐场交换,10,1,34274410,2
もう一杯！,再来一杯！,"道具制作
主要素材：摩杜纳交换",8,1,28409289,2
彩られし山麓 ～高地ドラヴァニア：昼～,华彩的山麓,"道具制作
主要素材：龙堡参天高地的恶名精英处获得",6,1,41672506,2
雲に隠れて ～アバラシア雲海：昼～,云中匿影,"道具制作
主要素材：阿巴拉提亚云海的恶名精英处获得",7,1,41672499,2
プレリュード ～冒険の序章～,水晶序曲　～冒险的序章～,成就“旋律的沉醉者1”报酬,1,5,539759,2
事件屋のアレ,非著名调查员,金碟游乐场交换,4,5,28409344,2
ただひとつの道,唯一的行路,"道具制作
主要素材：寻宝获得",5,5,28409400,2
そして世界へ,走向世界,"道具制作
主要素材：飞空艇探索获得",6,5,28409301,2
Pa-Paya,啪啪呀,季节活动报酬,99,6,34274370,2
不屈の闘志,坚毅,伊修加德交换,7,5,27586650,2
血で血を洗って,以血洗血,"道具制作
主要素材：狼狱水上竞技场交换",9,5,34274389,2
餓えた狼 ～ザ?フィースト～,饿狼群集,"道具制作
主要素材：狼狱水上竞技场交换",10,5,482633468,2
潮衝 ～逆襲要害 サスタシャ浸食洞～,激潮,"道具制作
主要素材：“天然要害沙斯塔夏溶洞”或“逆转要害沙斯塔夏溶洞”获得",5,2,34274398,2
漆黒の誓い ～惨劇霊殿 タムタラの墓所～,漆黑的誓言,"道具制作
主要素材：“地下灵殿塔姆·塔拉墓园”或“惨剧灵殿塔姆·塔拉墓园”获得",4,2,34274382,2
闇の抱擁,黑暗的拥抱,"道具制作
主要素材：“封锁坑道铜铃铜山”或“骚乱坑道铜铃铜山”获得",2,2,28409390,2
嵐の中の灯火 ～怪鳥巨塔 シリウス大灯台～,风暴中的灯火,"道具制作
主要素材：“领航明灯天狼星灯塔”或“地脉灵灯天狼星灯塔”获得",1,2,34274397,2
イマジネーション ～蒼天聖戦 魔科学研究所～,异想天开,"道具制作
主要素材：“血战苍穹魔科学研究所”获得",6,2,41672538,2
上り階段をくだれ ～星海観測 逆さの塔～,上下易位,"道具制作
主要素材：“星海空间颠倒塔”获得",7,2,482636401,2
魔大戦の傷跡 ～腐敗遺跡 古アムダプール市街～,魔大战的伤痕,"道具制作
主要素材：“腐坏遗迹无限城市街古迹”或“神圣遗迹无限城市街古迹”获得",3,2,34274364,2
天より降りし力,天降之力,金碟游乐场交换,1,3,28409283,2
究極幻想 ～アルテマウェポン破壊作戦～,究极神兵,成就“旋律的沉醉者2”报酬,2,3,28409404,2
神なき世界,诸神已死,"道具制作
主要素材：“究极神兵破坏作战”获得
（以最低品级参加时获得概率上升）",3,3,28409403,2
原始の審判 ～蛮神イフリート討滅戦～,原始的审判,"道具制作
主要素材：“伊弗利特歼殛战”获得
（以最低品级参加时获得概率上升）",4,3,28409338,2
堕天せし者 ～蛮神ガルーダ討滅戦～,堕天使,"道具制作
主要素材：“迦楼罗歼殛战”获得
（以最低品级参加时获得概率上升）",5,3,28409376,2
過重圧殺！ ～蛮神タイタン討滅戦～,重压灭顶,"道具制作
主要素材：“泰坦歼殛战”获得
（以最低品级参加时获得概率上升）",6,3,28409362,2
英傑 ～ナイツ?オブ?ラウンド討滅戦～,英杰,"道具制作
主要素材：“圆桌骑士幻想歼灭战”获得
（以最低品级参加时获得概率上升）",7,3,41672539,2
魔神 ～魔神セフィロト討滅戦～,魔神,"道具制作
主要素材：“萨菲洛特歼殛战”获得
（以最低品级参加时获得概率上升）",8,3,482633465,2
傲慢,傲慢,"道具制作
主要素材：“水晶塔 古代人迷宫”获得",1,4,28409392,2
奈落へ,一落千丈,"道具制作
主要素材：“水晶塔 古代人迷宫”获得",2,4,28409394,2
ドーガとウネの心,多加与乌内之心,"道具制作
主要素材：“水晶塔 希尔科斯塔”获得",4,4,34274392,2
絢爛 ～クリスタルタワー：シルクスの塔～,绚烂,"道具制作
主要素材：“水晶塔 希尔科斯塔”获得",3,4,34274393,2
薄闇 ～クリスタルタワー：闇の世界～,暗淡,"道具制作
主要素材：“水晶塔 暗之世界”获得",5,4,34274414,2
最後の死闘 ～新生～,最后的死斗　～重生～,"道具制作
主要素材：“水晶塔 暗之世界”获得",6,4,34274417,2
悠久の風 ～新生～,悠久之风　～重生～,"道具制作
主要素材：“水晶塔 古代人迷宫”、
“水晶塔 希尔科斯塔”、“水晶塔 暗之世界”获得",7,4,34274418,2
雷鳴,雷鸣,"道具制作
主要素材：“巴哈姆特大迷宫 邂逅之章5”获得
（以最低品级参加时获得概率上升）",8,4,28409370,2
白銀の凶鳥、飛翔せり,白银凶鸟展翅翱翔,"道具制作
主要素材：“巴哈姆特大迷宫 入侵之章4”获得
（以最低品级参加时获得概率上升）",9,4,34274379,2
灰より生まれし者,死灰复燃,"道具制作
主要素材：“巴哈姆特大迷宫 真源之章3”获得
（以最低品级参加时获得概率上升）",10,4,34274406,2
Answers,Answers　-生死答问-,"道具制作
主要素材：“巴哈姆特大迷宫 邂逅之章5”、
“巴哈姆特大迷宫 入侵之章4”、“巴哈姆特大迷宫 真源之章4”获得
（以最低品级参加时获得概率上升）",11,4,27586721,2
闘争,斗争,田园郡交换,3,5,41672515,2
汗を流して,挥汗如雨,伊修加德交换,8,5,28409297,2
夢見る女王陛下,女王的美梦,乌尔达哈出售,13,1,28409292,2
船乗りは眠らない,水手不眠,利姆萨·罗敏萨出售,11,1,28409317,2
蛍たちの舞踏会,萤火之舞,格里达尼亚出售,12,1,28409324,2
ノブレス?オブリージュ ～イシュガルド上層：昼～,位高责重,伊修加德出售,14,1,41672516,2
マトーヤの洞窟 ～蒼天～,玛托雅的洞窟　～苍穹～,玛托雅的洞穴出售,15,1,41672526,2
