大图编码,小图编码,版本,名称,中国区获得方法,国际服获得方法,说明
068501.tex,004501.tex,2.x,自走人偶001号,"三主城商会商店
海都下层(x9,y11)，沙都现世回廊(x10,y9)，森都新街(x11,y11)
贩卖价格：2400金币",,乌尔达哈的雕金匠行会在炼金术士行会的协力下开发制造的魔法自走人偶，这是其正式贩卖型。001号是泛用的基本型号，以此为基础衍生出了各种各样的改良版本。
068502.tex,004502.tex,2.x,巧儿陆行鸟,"三主城商会商店
海都下层(x9,y11)，沙都现世回廊(x10,y9)，森都新街(x11,y11)
贩卖价格：2400金币",,小巧可爱的陆行鸟雏鸟。把冒险者当成妈妈，一直跟着冒险者。它还会模仿冒险者穿戴装备，将蛋壳戴在身上。
068503.tex,004503.tex,2.x,爆弹仔,"三主城商会商店
海都下层(x9,y11)，沙都现世回廊(x10,y9)，森都新街(x11,y11)
贩卖价格：2400金币",,爆弹怪的幼体。爆弹怪是来自虚无界的气体生物，利用炼金术的技术可以对它们进行人工孵化。喜欢以木炭、青磷水、火属性水晶等各种燃料作为食物。基本上应该不会自行爆炸。
068504.tex,004504.tex,2.x,凯特西娃娃,积分兑换平台限时兑换,,在中原之民的民间传说里，有只叫做凯特西的妖精猫，这个玩偶就是模仿这个造型而做的。雕金匠行会的会长赛伦蒂碧提为了安抚失去父母的灵灾孤儿，把玩偶改造成了自走人偶。
068505.tex,004505.tex,2.x,贝希摩斯宝宝,积分兑换平台限时兑换,购买2.0典藏版,在乌尔达哈的路边上出售的奇特的幼兽，商人宣传说是传说中的魔兽贝希摩斯的幼崽。拥有紫色的身体和黑色的鬃毛，还有不怎么尖锐的角，但是却总想发出哼哼的叫声。不知它的父母到底是什么情况。
068506.tex,004506.tex,2.x,碧海人偶003号,"完成成就：「专研黑涡团笔记」后获得
成就条件：完成黑涡团讨伐笔记中的所有内容",,利姆萨·罗敏萨黑涡团的军用魔法人偶。基本设计是用来在阅兵式等场合担当旗手一职。站姿挺拔地举着团旗的样子十分威风。但是因为个子太矮，总是被人忽略。
068507.tex,004507.tex,2.x,密林人偶003号,"完成成就：「专研双蛇党笔记」后获得
成就条件：完成双蛇党讨伐笔记中的所有内容",,格里达尼亚双蛇党的军用魔法人偶。基本设计是用来在阅兵式等场合担当旗手一职。站姿挺拔地举着党旗的样子十分威风。但是因为个子太矮，总是被人忽略。
068508.tex,004508.tex,2.x,黄沙人偶003号,"完成成就：「专研恒辉队笔记」后获得
成就条件：完成恒辉队讨伐笔记中的所有内容",,乌尔达哈恒辉队的军用魔法人偶。基本设计是用来在阅兵式等场合担当旗手一职。站姿挺拔地举着队旗的样子十分威风。但是因为个子太矮，总是被人忽略。
068509.tex,004509.tex,2.x,黑涡团巧儿陆行鸟,20000黑涡团军票购买,,效忠于黑涡团的陆行鸟雏鸟。负责打扫的厩舍管理员在某天进入陆行鸟房时发现了这只雏鸟，它一副理所应当的样子把那里当作自己的家。之后它就成为了队里的吉祥物，并根据它自己的意愿调任到了冒险者部队。
068510.tex,004510.tex,2.x,双蛇党巧儿陆行鸟,20000双蛇党军票购买,,效忠于双蛇党的陆行鸟雏鸟。负责打扫的厩舍管理员在某天进入陆行鸟房时发现了这只雏鸟，它一副理所应当的样子把那里当作自己的家。之后它就成为了队里的吉祥物，并根据它自己的意愿调任到了冒险者部队。
068511.tex,004511.tex,2.x,恒辉队巧儿陆行鸟,20000恒辉队军票购买,,效忠于恒辉队的陆行鸟雏鸟。负责打扫的厩舍管理员在某天进入陆行鸟房时发现了这只雏鸟，它一副理所应当的样子把那里当作自己的家。之后它就成为了队里的吉祥物，并根据它自己的意愿调任到了冒险者部队。
068512.tex,004512.tex,2.x,魔界花骨朵,Lv47副本「毒雾洞窟黄金谷」掉落,,在黄金谷捕获的魔界花幼苗。散发出一股臭靴子的味道。闻过这股味道后必定会让人食欲减退，不过这却正好迎合了乌尔达哈那些为肥胖所困的富人，有钱人的世界真是让人难以理解。
068513.tex,004513.tex,2.x,小松鼠,"东萨纳兰：武器商 茶茶姆恩
仅在三连FATE跨天桥的死斗最后胜利时出售
贩卖价格：2400金币",,乌尔达哈的商人卖这只小动物时宣称是“可爱的小松鼠”。但是本应蓬松的尾巴却怎么看都太细长了。这真的不是拿老鼠来假冒的吗？真相依然是个谜。
068514.tex,004514.tex,2.x,魔菇宝,"Lv20FATE：无情的收割者 懒惰口花劳伦斯
黑衣森林东部林区(X23，Y29)
金牌奖励",,魔菇的幼体。据说口感相当不错。据?艾欧泽亚百科全书?记载，如果不幸吸入了魔菇的孢子，会因为孢子在体内发芽而连大脑都被支配，最终变成“植物人”的状态。
068515.tex,004515.tex,2.x,沙蚤虫虫,完成任务Lv22「遗迹调查前线」后获得,,沙蚤的幼虫，想要结下鲜血的契约。据传，过去存在于黑衣森林的地下城市“格尔莫拉”曾经试过一种自然疗法，他们相信利用沙蚤吸取病人的血，可以祛除体内的毒气。
068516.tex,004516.tex,2.1,青鸟,陈旧的毒蜥蜴革地图（G5）,,据说能够带来幸运的可爱小鸟。通常在树上筑巢，偶尔也会在人类弃置的木箱之类的东西里生活。因为这种习性，曾经在遗弃的宝箱里被发现，逐渐被传成了“意外之财”和“幸运”的象征。
068517.tex,004517.tex,2.x,幼羚羊,"摩杜纳：奥里亚娜（x22，y6）
7诗学兑换",,羚羊的幼崽。为了从肉食动物的嘴下逃生，一出生就能靠自己的力量站起来。但是却在这一瞬间被猎人捉住，卖给了商人罗薇娜。一刻都没能享受过父母的爱护，相当可怜。
068518.tex,004518.tex,2.x,小小魔精,"Lv49FATE：狂暴巨兽 强化奇美拉，
北萨纳兰(X17，Y14)
金牌奖励",,小魔精的幼体。本来是虚无界的生物，但因为掉进了“裂缝”而来到了艾欧泽亚。它边梦想着将来能成为统领七层地狱的魔王后衣锦还乡，边在艾欧泽亚实施恶作剧来积攒实力。
068519.tex,004519.tex,2.x,砂砾小像兵,Lv50 雕金制作,,模仿第五星历末期的石制巨像兵做出的模型，不过原理完全不同，内部和通常的自动人偶基本是一样的。外壳虽然看着很硬，但实际上意外的柔软。
068520.tex,004520.tex,2.x,精金幼龟,"捕鱼获得
拉诺西亚低地：砂盐滩",,生息在砂盐滩的精金龟的幼体。虽然它很想跟上主人，但可能是觉得爬行太费力，不知何时起练就了一手靠旋转龟壳来移动的本领。看起来很有成为贤者的潜质。
