编号,音乐,获得方法,其他,类型,BGM
1,水车低鸣,格里达尼亚新街(11:11)麦森塔/5000金,,1,28409319
1,风暴中的灯火,领航明灯 天狼星灯塔/地脉灵灯 天狼星灯塔,陈旧的乐谱:风暴中的灯火,2,34274397
1,天降之力,金蝶游乐场/50000金蝶币,,3,28409283
1,傲慢,水晶塔 古代人迷宫,陈旧的乐谱:傲慢,4,28409392
1,水晶序曲,成就报酬/10曲入手,,5,539759
2,伟大的母港,利姆萨·罗敏萨下层甲板(10:11)班戈·赞戈/5000金,,1,28409306
2,黑暗的拥抱,骚乱坑道 铜铃铜山/封锁坑道 铜铃铜山,陈旧的乐谱:黑暗的拥抱,2,28409390
2,究极神兵,成就报酬(30曲入手),,3,28409404
2,一落千丈,水晶塔 古代人迷宫,陈旧的乐谱:一落千丈,4,28409394
2,雪风,金蝶游乐场/5000金蝶币,,5,41672489
3,希望之都,乌尔达哈现世回廊(10:9)劳力士/5000金,,1,28409287
3,魔大战的伤痕,神圣遗迹 无限城市街古迹/腐坏遗迹 无限城市街古迹,陈旧的乐谱:魔大战的伤痕,2,34274364
3,诸神已死,究极神兵破坏作战,陈旧的乐谱:诸神已死,3,28409403
3,绚烂,希尔科斯塔,陈旧的乐谱:绚烂,4,34274393
3,斗争,田园郡(6:5)希丝梅娜/禁书750,,5,41672515
4,监牢,伊修加德砥柱层(6:10)芙莉妮/5000金,,1,41672490
4,漆黑的誓言,惨剧灵殿 塔姆 塔拉墓园/地下灵殿 塔姆 塔拉墓园,陈旧的乐谱:漆黑的誓言,2,34274382
4,原始的审判,伊芙利特歼殛战,陈旧的乐谱:原始的审判,3,28409338
4,多加与乌内之心,希尔科斯塔,陈旧的乐谱:多加与乌内之心,4,34274392
4,非著名调查员,金蝶游乐场/30000金蝶币,,5,28409344
5,沙之家,沙之家　哈奈可·布恩奈可/5000金,,1,28409334
5,激潮,逆转要害 沙斯塔夏溶洞/天然要害 沙斯塔夏溶洞,陈旧的乐谱:激潮,2,34274398
5,堕天使,迦楼罗歼殛战,陈旧的乐谱:堕天使,3,28409376
5,暗淡,暗之世界,陈旧的乐谱:暗淡,4,34274414
5,唯一的行路,藏宝图鞣/山羊/飞龙/巨龙革确认掉落,陈旧的乐谱:唯一的行路,5,28409400
6,华彩的山麓,龙堡参天高地/A:S怪物狩猎,陈旧的乐谱:华彩的山麓,1,41672506
6,异想天开,血战苍穹 魔科学研究所,陈旧的乐谱:异想天开,2,41672538
6,重压灭顶,泰坦歼殛战,陈旧的乐谱:重压灭顶,3,28409362
6,最后的死斗　～重生～,暗之世界,陈旧的乐谱:最后的死斗　～重生～,4,34274417
6,走向世界,地下工房飞空艇探索几率获得,陈旧的乐谱:走向世界,5,28409301
7,云中匿影,阿巴拉提亚云海/A:S怪物狩猎,陈旧的乐谱:云中匿影,1,41672499
7,上下易位,星海空间 颠倒塔,陈旧的乐谱:上下易位,2,482636401
7,英杰,圆桌骑士幻想歼灭战,陈旧的乐谱:英杰,3,41672539
7,悠久之风　～重生～,水晶塔 古代人迷宫,陈旧的乐谱:一落千丈,4,34274418
7,坚毅,伊修加德基础层(10:10)/虫珀3,,5,27586650
8,再来一杯！,丧灵钟用诗学交换/1000,陈旧的乐谱:再来一杯！,1,28409289
8,越过地平线,财宝传说 破舰岛/黑涡传说破舰岛,,2,34274380
8,魔神,萨菲洛特歼殛战,陈旧的乐谱:魔神,3,482633465
8,雷鸣,巴哈姆特大迷宫 邂逅之章5,陈旧的乐谱:雷鸣,4,28409370
8,挥汗如雨,伊修加德基础层(10:10)/虫珀6,,5,28409297
9,曼德维尔金碟游乐场,金蝶游乐场/10000金蝶币,,1,34274408
9,密道,凛冽洞天 披雪大冰壁,,2,34274402
9,水手遇难,利维亚桑歼殛战,陈旧的乐谱：水手遇难,3,34274362
9,白银凶鸟展翅翱翔,巴哈姆特大迷宫 入侵之章4,陈旧的乐谱:白银凶鸟展翅翱翔,4,34274379
9,以血洗血,狼印战绩交换/5000枚,陈旧的乐谱:以血洗血,5,34274389
10,陆行鸟竞赛,金蝶游乐场/15000金蝶币,,1,34274410
10,万世箴言,学识宝库 迦巴勒幻想图书馆,,2,41672527
10,混沌的漩涡,利维亚桑歼殛战,陈旧的乐谱：混沌的漩涡,3,34274363
10,死灰复燃,巴哈姆特大迷宫 真源之章3,陈旧的乐谱:死灰复燃,4,34274406
10,饿狼群集,狼印战绩交换/10000枚,陈旧的乐谱:饿狼群集,5,482633468
11,水手不眠,利姆萨·罗敏萨下层甲板(10:11)班戈·赞戈/5000金 ,,1,28409317
11,坚不可摧,博物战舰 无限回廊,,2,41672537
11,贤王莫古尔·莫古十二世,莫古力贤王歼殛战,陈旧的乐谱：贤王莫古尔·莫古十二世,3,28409384
11,Answers　-生死答问-,巴哈姆特大迷宫 邂逅之章5,陈旧的乐谱:雷鸣,4,27586721
11,凶兆,田园郡(6:5)希丝梅娜/禁书750,,5,41672494
12,萤火之舞,格里达尼亚新街(11:11)麦森塔/5000金,,1,28409324
12,谢罪之诗,天龙宫殿 忆罪宫,,2,482633486
12,绝命怒嚎,尼德霍格传奇征龙战,陈旧的乐谱：绝命怒嚎,3,482636422
12,父子之罪,支线「迈向无人知晓的明天」任务报酬,,4,41672543
12,苍翼,飞空艇探索(云海18),陈旧的乐谱：苍翼,5,28409374
13,女王的美梦,乌尔达哈现世回廊(10:9)劳力士/5000金,,1,28409292
13,银泪,幻龙残骸 密约之塔,,2,34274421
13,大桥上的死斗　～重生～,大桥上的决斗,陈旧的乐谱：大桥上的死斗,3,34274374
13,轨迹,支线「迈向无人知晓的明天」任务报酬,,4,41672544
13,艾欧泽亚的守护者,成就报酬/50曲入手,,5,28409395
14,位高责重,伊修加德砥柱层(6:10)/芙莉妮/5000金  ,,1,41672516
14,永眠,天山绝顶 索姆阿尔灵峰,,2,41672510
14,死斗　～苍穹～,金蝶游乐场/20000金蝶币,,3,482636458
