编码,顺序,副本名称,任务,位置,装等限制,等级,所属,类型
112001.tex,1,天然要害沙斯塔夏溶洞,主线,,无,,2,1
112002.tex,2,地下灵殿塔姆·塔拉墓园,主线,,无,,2,1
112003.tex,3,封锁坑道铜铃铜山,主线,,无,,2,1
112004.tex,4,魔兽领域日影地修炼所,日影地修炼所的邀请,西萨纳兰（X12.0，Y14.3）奈德里克·艾恩哈特,无,,2,1
112005.tex,5,监狱废墟托托·拉克千狱,主线,,无,,2,1
112006.tex,6,名门府邸静语庄园,主线,,无,,2,1
112007.tex,7,休养胜地布雷福洛克斯野营地,主线,,无,,2,1
112009.tex,8,古代遗迹喀恩埋没圣堂,埋在圣堂中的疑惑,西萨纳兰（X12.0，Y14.3）奈德里克·艾恩哈特,无,,2,1
112011.tex,9,流沙迷宫樵鸣洞,献给亲爱的战友,乌尔达哈来生回廊（X14.0，Y10.1）西博尔德,无,,2,1
112012.tex,10,对龙城塞石卫塔,主线,,无,,2,1
112013.tex,11,山中战线泽梅尔要塞,调查泽梅尔要塞,库尔札斯中央高地（X24.7，Y28.8）卡里洛,无,,2,1
112014.tex,12,毒雾洞窟黄金谷,黄金之谷,西萨纳兰（X12.0，Y14.3）奈德里克·艾恩哈特,无,,2,1
112010.tex,13,神灵圣域放浪神古神殿,古神殿的阴影,西萨纳兰（X11.5，Y13.9）阿琳,45,,2,1
112016.tex,14,帝国南方堡外围激战,主线,,42,,2,1
112017.tex,15,天幕魔导城最终决战,主线,,42,,2,1
112015.tex,16,邪教驻地无限城古堡,古堡恶灵,西萨纳兰（X12.0，Y14.3）奈德里克·艾恩哈特,45,,2,1
112027.tex,17,领航明灯天狼星灯塔,魅惑航路的歌声,西拉诺西亚（X26.5，Y26.7）蒂亚曼德,48,,2,1
112025.tex,18,骚乱坑道铜铃铜山,逝于铜铃铜山,摩杜纳（X22.0，Y8.7）修古伯特,48,,2,1
112026.tex,19,恶灵府邸静语庄园,食人庄园,摩杜纳（X22.1，Y8.6）洛莉安娜,48,,2,1
112042.tex,20,腐坏遗迹无限城市街古迹,腐朽魔都,格里达尼亚旧街（X6.0，Y10.6）艾·斯密·雅恩,55,,2,1
112049.tex,21,剑斗领域日影地修炼所,挑战日影地修炼所,摩杜纳（X22.1，Y8.7）修古伯特,55,,2,1
112048.tex,22,纷争要地布雷福洛克斯野营地,再次陷入困境的盟友,摩杜纳（X22.1，Y8.7）布鲁兹恩古,55,,2,1
112058.tex,23,财宝传说破舰岛,雾过天晴破舰岛,摩杜纳（X22.1，Y8.7）布鲁兹恩古,70,,2,1
112059.tex,24,惨剧灵殿塔姆·塔拉墓园,灵殿昏暗的深处,乌尔达哈现世回廊（X12.2，Y8.1）帕伊尤·雷伊尤,70,,2,1
112060.tex,25,激战城塞石卫塔,夙愿得偿,摩杜纳（X21.9，Y8.4）法伊希,70,,2,1
112066.tex,26,凛冽洞天披雪大冰壁,主线,,80,,2,1
112067.tex,27,逆转要害沙斯塔夏溶洞,祸起沙斯塔夏,摩杜纳（X22.1，Y8.7）布鲁兹恩古,80,,2,1
112068.tex,28,苏醒遗迹喀恩埋没圣堂,圣堂中的陷阱,摩杜纳（X22.1，Y8.7）修古伯特,80,,2,1
112076.tex,29,幻龙残骸密约之塔,主线,,90,,2,1
112078.tex,30,武装圣域放浪神古神殿,古堡凶影,摩杜纳（X22.1，Y8.6）洛莉安娜,90,,2,1
112077.tex,31,邪念妖地无限城古堡,血染古神殿,摩杜纳（X22.1，Y8.7）布鲁兹恩古,90,,2,1
112008.tex,1,伊弗利特讨伐战,主线,,无,,2,2
112018.tex,2,泰坦讨伐战,主线,,无,,2,2
112019.tex,3,迦楼罗讨伐战,主线,,无,,2,2
112020.tex,4,里塔提恩强攻战,主线,,无,,2,2
112081.tex,5,那布里亚勒斯讨伐战,主线,,90,,2,2
112082.tex,6,皇都伊修加德保卫战,主线,,90,,2,2
112053.tex,7,死化奇美拉讨伐战,复苏的上古武器,黑衣森林北部林区（X30，Y20）盖罗尔特,52,,2,2
112055.tex,8,海德拉讨伐战,完成死化奇美拉讨伐战-复苏的上古武器（吉光）,黑衣森林北部林区（X30，Y20）盖罗尔特,52,,2,2
112054.tex,9,大桥上的决斗,调查员连续任务-神秘的调查员,乌尔达哈现世回廊（X9，Y8）维蒙德,50,,2,2
112075.tex,10,艾玛吉娜杯斗技大会决赛,调查员连续任务/通关副本「大桥上的决斗」,,80,,2,2
112080.tex,11,无限城的死斗,调查员连续任务/通关副本「艾玛吉娜杯斗技大会决赛」开放后续,,90,,2,2
112021.tex,12,伊弗利特歼灭战,蛮神的真正力量,沙之家（X6.9，Y6.1）敏菲利亚,49,,2,2
112023.tex,13,迦楼罗歼灭战,蛮神的真正力量,沙之家（X6.9，Y6.1）敏菲利亚,52,,2,2
112022.tex,14,泰坦歼灭战,蛮神的真正力量,沙之家（X6.9，Y6.1）敏菲利亚,57,,2,2
112031.tex,15,莫古力贤王歼灭战,主线,,54,,2,2
112051.tex,16,利维亚桑歼灭战,主线,,60,,2,2
112062.tex,17,拉姆歼灭战,主线,,65,,2,2
112073.tex,18,希瓦歼灭战,主线,,80,,2,2
112065.tex,19,奥丁歼灭战,绝命斗神,格里达尼亚新街（X9.9，Y11.4）斯卡利特,95,,2,2
112032.tex,20,究极神兵破坏作战,英雄叙事诗幻想之章,摩杜纳（X21.7，Y8.6）阿莉丝,61,,2,2
112030.tex,21,迦楼罗歼殛战,登峰造极的风神迦楼罗,沙之家（X6.0，Y4.9）于里昂热,65,,2,2
112029.tex,22,泰坦歼殛战,登峰造极的土神泰坦,沙之家（X6.0，Y4.9）于里昂热,67,,2,2
112028.tex,23,伊弗利特歼殛战,登峰造极的火神伊弗利特,沙之家（X6.0，Y4.9）于里昂热,70,,2,2
112052.tex,24,利维亚桑歼殛战,登峰造极的水神利维亚桑,沙之家（X6.0，Y4.9）于里昂热,80,,2,2
112050.tex,25,莫古力贤王歼殛战,登峰造极的贤王莫古尔·莫古十二世,沙之家（X6.0，Y4.9）于里昂热,80,,2,2
112063.tex,26,拉姆歼殛战,登峰造极的雷神拉姆,格里达尼亚新街（X9.9，Y11.4）斯卡利特,85,,2,2
112074.tex,27,希瓦歼殛战,登峰造极的冰神希瓦,沙之家（X6.0，Y4.9）于里昂热,95,,2,2
112033.tex,1,水晶塔古代人迷宫,古代亚拉戈文明的遗产,摩杜纳（X21.8，Y8.1）异国装扮的男人,50,,2,3
